// http://jeromiewilliams.com/2013/11/03/updated-list-113-things-toronto-mayor-rob-ford-has-done-besides-smoking-crack-in-a-video/
1   1987    Rob Ford is charged with assault during a hockey fight at age 18.
2   2/15/1999   Ford is arrested in Miami, Florida, for DUI and pleads guilty to failing to provide a breath sample. Ford is also charged with marijuana possession; the charge is later dropped. “The [defendant] approached me and took all of his money and threw it to the ground,” reads the arrest affidavit. “The [defendant] was acting nervous. When the [defendant] spoke to me I could smell a strong odor of an alcoholic beverage on this breath. His eyes were blood shot.” Ford denies charges later during his mayoral campaign until presented with evidence.
3   6/13/2001   Ford questions a grant for a video about homosexuality in Toronto’s South Asian community, telling The National Post: “I have no problem giving money out to physically or mentally handicapped children or seniors, but spending $5,000 on this video is disgusting, it is absolutely disgusting to spend this amount of money on this, whatever it was called, video.”
4   3/6/2002    During a council budget debate, Ford calls fellow councillor George Mammoliti a “Gino-boy.”
5   4/17/2002   During a council debate on whether there should be homeless shelters across the city, rather than only downtown, Mr. Ford says: “This is an insult to my constituents to even think about having a homeless shelter in their ward. And you want me to have a public meeting to discuss this? Why don’t we have a public lynching?”
6   6/24/2004   After reporter John Barber demands “Answer the question, you fat fuck!” in frustration, Ford and councillor Giorgio Mammoliti angrily and repeatedly demand Barber explain why he said this and pursue him when he leaves the council chamber. Ford accuses Barber repeatedly of verbal assault while physically blocking him from getting into an elevator and leaving. Ford eventually chases Barber out of City Hall. Video of the confrontation is widely circulated.
7   6/14/2005   Ford questions the utility of grant programs for transgendered and transsexual people during a council debate. “I don’t understand. No. 1, I don’t understand a transgender, I don’t understand, is it a guy dressed up like a girl or a girl dressed up like a guy? And we’re funding this for, I don’t know, what does it say here? We’re giving them $3,210?”
8   7/19/2005   During a council debate over a pothole, Ford calls fellow councillor Gloria Lindsay Luby “a joke. She’s a waste of time. A waste of skin.”
9   4/15/2006   Security guards remove a drunken and belligerent Ford from a Maple Leafs game. After being asked to be quiet, Ford yells, “You right-wing communist bastards,” and “Who the fuck do you think you are? Are you a fucking teacher? Do you want your little wife to go over to Iran and get raped and shot?”
10  6/28/2006   Ford declares during a debate on a $1.5 million AIDs prevention program: “If you are not doing needles and you are not gay, you wouldn’t get AIDS probably. That’s the bottom line…. How are women getting it? Maybe they are sleeping with bisexual men.”
11  3/7/2007    Ford comments about cyclists: “My heart bleeds for them when I hear someone gets killed, but it’s their own fault at the end of the day.”
12  3/5/2008    Ford comments about Asians during a holiday shopping debate: “Those Oriental people work like dogs. They work their hearts out. They are workers non-stop. They sleep beside their machines. That’s why they’re successful in life. I went to Seoul, South Korea, I went to Taipei, Taiwan. I went to Tokyo, Japan. That’s why these people are so hard workers (sic). I’m telling you, the Oriental people, they’re slowly taking over.”
13  3/26/2008   Ford is charged with assaulting his wife and uttering a death threat. The charges are later dropped because inconsistencies in Renata Ford’s accounts make a conviction unlikely.
14  6/4/2010    Ford offers to help an ill man “score” the powerful painkiller OxyContin in a taped phone conversation: “I’ll try, buddy, I’ll try. I don’t know this shit, but I’ll fucking try to find it. Why don’t you go on the street and score it? Fuck, you know, I don’t know any drug dealers at all.”
15  7/14/2010   Toronto District School Board director of education Chris Spence states that Ford was asked to stop coaching high school football after he reportedly had a violent physical confrontation with student player Jonathan Gordon at Newtonbrook Secondary School in 2001.
16  8/12/2010   City’s integrity commissioner finds Ford had violated council’s code of conduct by using his official letterhead to solicit donations totaling $3150 from lobbyists and corporations for his private charitable organization, the Rob Ford Football Foundation. Council recommends he repay this money at its next meeting on Aug 25. Ford does not do so.
17  8/12/2010   Ford tells The Toronto Sun that in-camera council meetings have “more corruption and skullduggery going on in there than I’ve ever seen in my life.” He also says council’s decision to award an untendered 20-year contract to a pub operator “stinks to high heaven.”
18  8/17/2010   Ford argues for a cap on immigration in the city of Toronto: “We can’t even deal with the 2.5 million people in this city. I think it’s more important we take care of the people now before we start bringing in more. There are going to be a million more people—according to the Official Plan, which I did not support—over the next 10 years coming into the city. We’re not in the fiscal shape, we’re not in the social shape, to be taking any more people into this city right now.” Previously, in March 2003, Ford had suggested Toronto be declared a “refugee-free zone.”
19  12/21/2010  A Toronto Star story shows that Ford and his aides made misleading statements about his academic career implying that he attended Carleton University for three years (dropping out two credits short) and played varsity football for the Carleton Ravens. In fact, he dropped out of Carleton after one year, and former Carleton Ravens players are doubtful that he ever dressed for a game. York University confirms that Ford took six continuing education courses, completing “some, but not all” of the first-year courses.
20  5/13/2011   Ford is audited for violating election campaign spending rules (improperly paying for his campaign expenses, wrongly borrowing money from his family’s holding company (Doug Ford Holdings), exceeding the campaign spending limit and accepting corporate contributions)
